Pays,année exportation,Montant_exportation
Afghanistan,2010,255.832647
Angola,2010,102417.651335
Albania,2010,102830.189564
Netherlands Antilles,2010,103015.1281
United Arab Emirates,2010,126402.868486
Argentina,2010,135684.768389
Australia,2010,192961.987311
Austria,2010,193121.453608
Azerbaijan,2010,193122.977173
Burundi,2010,193205.858947
Belgium,2010,1524528.570705
Benin,2010,1988141.01171
Burkina Faso,2010,3492477.396426
Bangladesh,2010,3526629.033766
Bulgaria,2010,3545206.612023
Bahrain,2010,3546523.305661
"Bahamas, The",2010,3546645.864526
Belarus,2010,3586506.019364
Belize,2010,3587246.600464
Bermuda,2010,3587275.975492
Brazil,2010,3814661.991992
Barbados,2010,3814811.55214
Central African Republic,2010,3822948.345525
Canada,2010,4795047.327757
Switzerland,2010,5312130.763423
China,2010,5653385.234214
Cameroon,2010,5918865.855002
"Congo, Rep.",2010,6014711.508134
Colombia,2010,6015326.226853
Cape Verde,2010,6016848.762565
Cyprus,2010,6023039.635632
Czech Republic,2010,6079542.634056
Germany,2010,8170774.567881
Djibouti,2010,8171298.996831
Dominica,2010,8171337.113319
Denmark,2010,8174406.105689
Dominican Republic,2010,8180481.547717
Algeria,2010,8549972.500246
East Asia and Pacific,2010,10521383.402248
Europe and Central Asia,2010,28938800.901853
Ecuador,2010,28947953.925323
"Egypt, Arab Rep.",2010,28988439.471375
Spain,2010,30002506.911891
Estonia,2010,30932779.903039
Ethiopia(excludes Eritrea),2010,30939476.841621
Finland,2010,30960407.741786
France,2010,33777563.631441
Gabon,2010,33879947.84438
United Kingdom,2010,34999054.728246
Georgia,2010,34999081.571944
Ghana,2010,38206263.723788
Gibraltar,2010,38206667.907688
Guinea,2010,38439663.665324
"Gambia, The",2010,38544734.522282
Guinea-Bissau,2010,38557130.965235
Equatorial Guinea,2010,39556615.640435
Greece,2010,39685367.161644
Guyana,2010,39685374.822129
"Hong Kong, China",2010,39705685.502186
Croatia,2010,39713381.607273
Haiti,2010,39714102.133673
Hungary,2010,39714685.464407
Indonesia,2010,39914415.831337
India,2010,41134505.8262
Ireland,2010,41149926.516533
"Iran, Islamic Rep.",2010,41158779.297278
Iceland,2010,41159162.519314
Israel,2010,41186317.300124
Italy,2010,42468383.039618
Jamaica,2010,42468929.45613
Jordan,2010,42472096.811782
Japan,2010,42489061.007062
Kazakhstan,2010,42490786.06203
Kenya,2010,42497402.126221
Cambodia,2010,42497409.868978
Kiribati,2010,42497979.878493
"Korea, Rep.",2010,42498372.949121
Kuwait,2010,42498444.315167
Lebanon,2010,42518748.072149
Liberia,2010,42751027.613817
Libya,2010,42751962.85429
Latin America and Caribbean,2010,43311623.155704
Lithuania,2010,43373119.201097
Latvia,2010,43373285.584061
Morocco,2010,43426087.143572
Madagascar,2010,43426824.168559
Middle East and North Africa,2010,44116773.975717
Mexico,2010,44405388.183868
Marshall Islands,2010,44405572.641499
Mali,2010,45339035.012404
Malta,2010,45362101.036396
Myanmar,2010,45362210.733076
Mozambique,2010,45363228.542075
Mauritania,2010,45394338.737231
Mauritius,2010,45398759.524488
Malawi,2010,45399447.440584
Malaysia,2010,46034774.890981
Mayotte,2010,46035035.022767
North America,2010,51249705.26034
Niger,2010,51477370.593993
Nigeria,2010,54207755.832503
Netherlands,2010,60058143.116815
Norway,2010,60061912.799872
New Zealand,2010,60062206.883207
"Other Asia, nes",2010,60081149.347781
Oman,2010,60081372.979975
Pakistan,2010,60098296.877945
Panama,2010,60100521.981918
Peru,2010,60102524.082492
Philippines,2010,60117469.031967
Poland,2010,60571970.123379
"Korea, Dem. Rep.",2010,60572035.245197
Portugal,2010,60637914.049756
French Polynesia,2010,60637937.267652
Qatar,2010,60639066.633226
Romania,2010,60663381.022576
Russian Federation,2010,60679647.775543
Rwanda,2010,60679757.696167
South Asia,2010,61952453.837249
Saudi Arabia,2010,61959843.603501
Fm Sudan,2010,61961082.733928
Senegal,2010,62432680.056641
"Serbia, FR(Serbia/Montenegro)",2010,62432765.512347
Singapore,2010,62611202.505022
Sierra Leone,2010,62736723.112819
Sub-Saharan Africa,2010,75583534.400555
Sao Tome and Principe,2010,75583692.306895
Suriname,2010,75588021.169144
Slovak Republic,2010,75588142.815754
Slovenia,2010,75592064.077644
Sweden,2010,75636756.85503
Seychelles,2010,75636767.304655
Syrian Arab Republic,2010,75648252.754443
Chad,2010,75663485.607644
Togo,2010,75952889.377219
Thailand,2010,75997272.095583
Tunisia,2010,76086672.665567
Turkey,2010,76488530.010193
Tuvalu,2010,76488683.556865
Tanzania,2010,76490372.511531
Uganda,2010,76500060.234618
Ukraine,2010,76567783.203678
Unspecified,2010,76974285.9269
United States,2010,81216818.015537
Uzbekistan,2010,81216863.443948
St. Vincent and the Grenadines,2010,81217806.728881
Venezuela,2010,81219167.791121
Vietnam,2010,81667203.733481
Vanuatu,2010,81668275.08036
World,2010,123067322.189457
Yemen,2010,123067381.876609
South Africa,2010,123502774.599773
"Congo, Dem. Rep.",2010,123719144.083785
Zambia,2010,123722420.593671
