Pays,Montant_importation,année importation
Afghanistan,41.82633,2010
Angola,122.494536,2010
Albania,1159.253933,2010
Andorra,1170.306156,2010
United Arab Emirates,116597.014791,2010
Argentina,193391.244753,2010
Armenia,193595.086568,2010
American Samoa,193597.186557,2010
Antigua and Barbuda,193600.697786,2010
Australia,263633.323911,2010
Austria,297054.355824,2010
Azerbaijan,297055.192354,2010
Burundi,297347.133827,2010
Belgium,745270.014614,2010
Benin,766002.225329,2010
Burkina Faso,780341.249479,2010
Bangladesh,863325.355825,2010
Bulgaria,871641.355317,2010
Bahrain,871897.174572,2010
"Bahamas, The",871934.814689,2010
Bosnia and Herzegovina,872057.962145,2010
Belarus,1007733.171947,2010
Belize,1020278.024635,2010
Bolivia,1020283.708511,2010
Brazil,1279129.971633,2010
Barbados,1279130.279183,2010
Brunei,1279145.04196,2010
Bhutan,1279151.128567,2010
Botswana,1279423.262107,2010
Central African Republic,1279424.554685,2010
Canada,1362255.654156,2010
Switzerland,1579712.713796,2010
Chile,1609997.924797,2010
China,3941414.136951,2010
Cameroon,3953914.20904,2010
"Congo, Rep.",4071319.80829,2010
Colombia,5133318.418586,2010
Cape Verde,5133344.70499,2010
Costa Rica,5138561.267608,2010
Cuba,5138639.705906,2010
Cyprus,5139520.739505,2010
Czech Republic,5167555.016145,2010
Germany,6109972.26286,2010
Djibouti,6109995.696518,2010
Dominica,6110016.530953,2010
Denmark,6146032.422752,2010
Dominican Republic,6147113.171687,2010
Algeria,6149198.899511,2010
East Asia and Pacific,13552608.275462,2010
Europe and Central Asia,23094977.553622,2010
Ecuador,23095225.592948,2010
"Egypt, Arab Rep.",23242142.116077,2010
Spain,23889429.076654,2010
Estonia,23892589.401293,2010
Ethiopia(excludes Eritrea),23892623.77782,2010
Finland,23980912.921832,2010
France,27866389.085306,2010
Gabon,27874621.036463,2010
United Kingdom,28381965.157675,2010
Georgia,28382048.772186,2010
Ghana,28445642.778054,2010
Gibraltar,28445729.64315,2010
Guinea,28509820.459202,2010
"Gambia, The",28509963.226198,2010
Guinea-Bissau,28516003.232618,2010
Equatorial Guinea,28569935.442393,2010
Greece,28590834.086956,2010
Grenada,28590840.403551,2010
Guatemala,28590962.976356,2010
Guyana,28590970.713162,2010
"Hong Kong, China",28604304.40937,2010
Honduras,28604547.619383,2010
Croatia,28604869.810877,2010
Hungary,28635451.350775,2010
Indonesia,29060248.531604,2010
India,29709334.85484,2010
Ireland,29830123.978882,2010
"Iran, Islamic Rep.",29888511.409586,2010
Iraq,29888512.105468,2010
Iceland,29889438.376112,2010
Israel,29927144.469696,2010
Italy,30625231.361989,2010
Jamaica,30625325.15502,2010
Jordan,30633068.286364,2010
Japan,31414005.227227,2010
Kazakhstan,31414007.050038,2010
Kenya,31416905.769763,2010
Kyrgyz Republic,31416906.371653,2010
Cambodia,31417637.174852,2010
St. Kitts and Nevis,31417646.736651,2010
"Korea, Rep.",31868711.208983,2010
Kuwait,31888903.311262,2010
Lao PDR,31888910.553978,2010
Lebanon,31962730.247253,2010
Liberia,32015799.417747,2010
Libya,32024460.67356,2010
Latin America and Caribbean,33614042.23267,2010
Sri Lanka,33618586.222409,2010
Lesotho,33618586.812771,2010
Lithuania,33650535.823432,2010
Latvia,33650544.467018,2010
Macao,33651467.091759,2010
Morocco,33951830.88791,2010
Moldova,33952541.76323,2010
Madagascar,33952908.666511,2010
Middle East and North Africa,35117990.954636,2010
Mexico,35132257.6953,2010
Marshall Islands,36245609.297114,2010
Mali,36250796.153669,2010
Malta,36250891.921551,2010
Myanmar,36342594.082,2010
Mauritania,36997247.099776,2010
Montserrat,36997249.590364,2010
Mauritius,37003159.725856,2010
Malawi,37003859.328441,2010
Malaysia,37158898.384624,2010
North America,38247933.825642,2010
Namibia,38247970.700289,2010
New Caledonia,38247970.859452,2010
Niger,38250853.13748,2010
Nigeria,46531199.057386,2010
Nicaragua,46531271.458723,2010
Netherlands,47130588.782864,2010
Norway,47157856.685784,2010
Nauru,47157859.774229,2010
New Zealand,47222816.556912,2010
"Other Asia, nes",47340961.539816,2010
Oman,47344472.108623,2010
Pakistan,47548007.871711,2010
Panama,47548150.234869,2010
Peru,47550148.662627,2010
Philippines,47557348.462453,2010
Poland,47659095.014864,2010
"Korea, Dem. Rep.",47664415.125302,2010
Portugal,47844436.739408,2010
Paraguay,47850805.653872,2010
