,Case,Year,Banking Crisis ,Systemic Crisis,Gold Standard,exch_usd,national currency,exch_sources,Domestic_Debt_In_Default,"SOVEREIGN EXTERNAL DEBT 1: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom and post-1975 defaults on Official External Creditors","SOVEREIGN EXTERNAL DEBT 2: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom but includes post-1975 defaults on Official External Creditors",GDP_Weighted_default,"Inflation, Annual percentages of average consumer prices",Independence,Currency Crises,Inflation Crises
32,1.0,1831.0,0.0,0.0,0,0.05168,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
33,1.0,1832.0,0.0,0.0,0,0.053362,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
34,1.0,1833.0,0.0,0.0,0,0.054735,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
35,1.0,1834.0,0.0,0.0,0,0.053706,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
36,1.0,1835.0,0.0,0.0,0,0.052604,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
37,1.0,1836.0,0.0,0.0,0,0.052604,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
38,1.0,1837.0,0.0,0.0,0,0.051361,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
39,1.0,1838.0,0.0,0.0,0,0.0516,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
40,1.0,1839.0,0.0,0.0,0,0.05211,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
41,1.0,1840.0,0.0,0.0,0,0.051733,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
42,1.0,1841.0,0.0,0.0,0,0.052466,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
43,1.0,1842.0,0.0,0.0,0,0.054171,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0
