country,year,banking_crisis,systemic_crisis,gold_standard,exch_usd,national_currency,exch_sources,domestic_debt_in_default,soreign_extenal_deb_1,soreign_extenal_deb_2,gdp_weighted_default,inflation_annual_percentages_average,independence,currency_crises,inflation_crises,id
Algeria,1831.0,0.0,0.0,0,0.05168,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,0
Algeria,1832.0,0.0,0.0,0,0.053362,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,1
Algeria,1833.0,0.0,0.0,0,0.054735,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,2
Algeria,1834.0,0.0,0.0,0,0.053706,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,3
Algeria,1835.0,0.0,0.0,0,0.052604,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,4
Algeria,1836.0,0.0,0.0,0,0.052604,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,5
Algeria,1837.0,0.0,0.0,0,0.051361,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,6
Algeria,1838.0,0.0,0.0,0,0.0516,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,7
Algeria,1839.0,0.0,0.0,0,0.05211,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,8
Algeria,1840.0,0.0,0.0,0,0.051733,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,9
Algeria,1841.0,0.0,0.0,0,0.052466,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,10
Algeria,1842.0,0.0,0.0,0,0.054171,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,11
Algeria,1843.0,0.0,0.0,0,0.053248,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,12
Algeria,1844.0,0.0,0.0,0,0.052247,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,13
Algeria,1845.0,0.0,0.0,0,0.052715,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,14
Algeria,1846.0,0.0,0.0,0,0.05385,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,15
Algeria,1847.0,0.0,0.0,0,0.052274,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,16
Algeria,1848.0,0.0,0.0,0,0.052604,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,17
Algeria,1849.0,0.0,0.0,0,0.052604,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,18
Algeria,1850.0,0.0,0.0,0,0.051867,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,19
Algeria,1851.0,0.0,0.0,0,0.051414,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,20
Algeria,1852.0,0.0,0.0,0,0.051308,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,21
Algeria,1853.0,0.0,0.0,0,0.051308,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,22
Algeria,1854.0,0.0,0.0,0,0.051867,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,23
Algeria,1855.0,0.0,0.0,0,0.052002,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,24
Algeria,1856.0,0.0,0.0,0,0.051546,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,25
Algeria,1857.0,0.0,0.0,0,0.052301,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,26
Algeria,1858.0,0.0,0.0,0,0.051414,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,27
